N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_null,Kennedy_optML,p_null,beta_star,p_star,GG_alpha,GG_beta,GG_K,Kennedy_null_GG,p_null_GG,Kennedy_optML_GG,beta_star_GG,p_star_GG
0.2010059246231156,0.6689728188197309,0.647338143658651,0.44708622672399456,0.36518442775389925,0.39727946237622747,0.5952210866145266,-0.5833866033796763,0.43533253473029004,4.0,2.0,256.0,0.26521568806852447,0.5749561388350918,0.3067320964277196,-0.655479431576405,0.4563723071443148
0.21105617085427136,0.6556603772488497,0.6626444001469656,0.463574856609001,0.38033292599226304,0.4122429776206793,0.5935171558664444,-0.5917108332246913,0.43609618455088733,4.0,2.0,256.0,0.27594902247225284,0.5732217629024509,0.31716017797230595,-0.6636271375675801,0.4574903202027187
0.22110641708542714,0.6426128509265294,0.6772107171167758,0.4796030730731453,0.39520044143886046,0.4268621623685647,0.5918289824587476,-0.5998055055992405,0.4368747645136983,4.0,2.0,256.0,0.2864596396108501,0.5715081102586428,0.32727862100820154,-0.6714803431115208,0.45859194682747745
0.2311566633165829,0.6298249680858633,0.6910810554771746,0.49518261087957227,0.40978947248764025,0.441146061707385,0.5901568293757536,-0.6076898899469928,0.43766581201394,4.0,2.0,256.0,0.29675035814595585,0.5698152267855331,0.3370984477509616,-0.6792248664734447,0.45970556844461735
0.24120690954773868,0.6172915618671801,0.704295801026814,0.5103249418747253,0.4241025796746949,0.4551032520289554,0.588500949121897,-0.6153809973316264,0.4384671929657142,4.0,2.0,256.0,0.30682403753823445,0.5681431364379661,0.3466303326676447,-0.6866296587354946,0.46078723613221245
0.25125715577889446,0.6050075682304085,0.7168921745930804,0.5250412799164001,0.4381423832864261,0.468741889873373,0.5868615835626776,-0.6228939251503557,0.43927704688203656,4.0,2.0,256.0,0.31668357347773446,0.5664918424659463,0.35588607626681795,-0.6937281836650048,0.4618387282931182
0.2613074020100502,0.5929680239089842,0.7289045797313488,0.5393425857246699,0.4519115609258078,0.482069753751796,0.5852389637816059,-0.6302421359648062,0.4400937417354233,4.0,2.0,256.0,0.32633189342640856,0.5648613286285007,0.36487539486234954,-0.7006885542099275,0.4628862331227747
0.271357648241206,0.5811680644044763,0.7403648996804161,0.5532395716571987,0.46541284504141756,0.4950942801846849,0.5836333099532799,-0.6374376907833685,0.44091583968571174,4.0,2.0,256.0,0.3357719522843132,0.5632515603917148,0.37360722346283476,-0.70752002376279,0.4639289424619199
0.2814078944723618,0.5696029220211181,0.7513027527103644,0.5667427064104016,0.47864902042392365,0.5078225949364487,0.5820448312326828,-0.6444914385995916,0.44174206745168915,4.0,2.0,256.0,0.3450067281893219,0.5616624861044508,0.3820894869038082,-0.7142246661327736,0.4649655175284048
0.29145814070351755,0.5582679239394506,0.7617457130730654,0.5798622196478489,0.4916229216747222,0.5202615402319236,0.580473725660753,-0.651413175186171,0.44257129242033394,4.0,2.0,256.0,0.354039218458568,0.5600940381462288,0.3903307526115779,-0.7207084680713044,0.46597824724735143
0.30150838693467336,0.5471584903283014,0.7717195032996028,0.592608106557262,0.5043374306513955,0.5324176985889726,0.5789201800862317,-0.6582117767084485,0.44340250302732076,4.0,2.0,256.0,0.36287243567830224,0.5585461340426623,0.39833884459928814,-0.7271725112250192,0.4669988717156907
0.3115586331658291,0.536270132494334,0.7812481624612009,0.6049901323373876,0.5167954738946515,0.54429741378354,0.5773843701037585,-0.6648953119154369,0.4442347921741948,4.0,2.0,256.0,0.37150940394741006,0.5570186775446963,0.406119871134202,-0.733535429210329,0.4680131855406004
0.3216088793969849,0.5255984510684204,0.7903541941341703,0.6170178366159891,0.529000020041351,0.5559068093705948,0.575866460008142,-0.6714711404832859,0.4450673442731594,4.0,2.0,256.0,0.3799531552785021,0.5555115596686783,0.41368195007432607,-0.7396254791970136,0.4689915930303831
0.3316591256281407,0.5151391342281056,0.7990586971225418,0.6287005378001433,0.5409540772281879,0.5672518051105777,0.5743666027646952,-0.6779459819431193,0.44589942008701006,4.0,2.0,256.0,0.38820672615925134,0.5540246596950067,0.4210329499991527,-0.7455165873804623,0.46994482505021246
0.34170937185929645,0.5048879559554441,0.80738148144895,0.6400473373599794,0.5526606904905187,0.578338131591899,0.5728849399954824,-0.6843260084290306,0.4467303529725388,4.0,2.0,256.0,0.3962731542755279,0.5525578461237463,0.4281809811091566,-0.7511859775419156,0.4708677484171541
0.35175961809045225,0.49484077432950463,0.8153411716914728,0.6510671240469554,0.5641229391607607,0.5891713432923669,0.5714216019812997,-0.6906168853389519,0.44755953569979584,4.0,2.0,256.0,0.4041554753968535,0.55111097758617,0.43513316655966594,-0.7566539069337475,0.47176270246125046
0.361809864321608,0.48499352985285527,0.8229552993965474,0.6617685780477149,0.5753439342706945,0.5997568302837416,0.5699767076791548,-0.6968238309079264,0.44838641473855134,4.0,2.0,256.0,0.4118567204237823,0.5496839037116972,0.44189632416609326,-0.7620006421429335,0.47264139026572044
0.3718601105527638,0.47534224381134954,0.8302403860170391,0.6721601750745337,0.5863268159619012,0.6100998287519777,0.5685503647549996,-0.7029516629586766,0.44921048474817027,4.0,2.0,256.0,0.4193799125959924,0.5482764659501307,0.4484759144019038,-0.7673432705015832,0.4735215871435949
0.3819103567839196,0.4658830166665537,0.837212017595786,0.6822501903933167,0.5970747509084693,0.620205430479721,0.567142669631419,-0.7090048353319737,0.4500312812923392,4.0,2.0,256.0,0.4267280648591499,0.5468884983494811,0.45487696176214365,-0.7725549325444636,0.4743833998242299
0.39196060301507535,0.45661202648016375,0.8438849122276141,0.6920467027900667,0.6075909297559684,0.6300785914161214,0.565753707549955,-0.7149874698535783,0.45084838021874535,4.0,2.0,256.0,0.43390417738797477,0.5455198282899828,0.46110505538498464,-0.7777230577372095,0.4752396263601934
